Temperature,n-heptane,oxygen,carbon monoxide,carbon dioxide,methane,acetylene,ethylene,ethane,propene,propane,propadiene,propyne,formaldehyde,ethylene oxide,acetaldehyde,1-butene,2-butene,"1,3-butadiene",n-butane,ethanol,propylene oxide,furan,acrolein,propanal,acetone,1-pentene,2-pentene,cyclopentene,"1,3-pentadiene",2-propen-1-ol,propan-1-ol,butenone,methyl-furan,butanal,2-butanone,1-hexene,2-butenal,acetic acid,pentanal + pentanone,benzene,dihydrofuran,3-heptene,2-heptene,1-heptene,2-hexanone,propanoic acid,2-ethyl-5-methyl-furan,2-methyl-dihydrofuranone,sum of cyclic ether with 5 atoms,sum of cyclic ether with 4 atoms,sum of cyclic ether with 3 atoms,2methanol-5methyl-tetrahydrofuranone,heptanone
875,2.58E-03,1.21E-02,6.30E-04,1.47E-05,4.99E-04,1.63E-06,2.21E-03,6.28E-05,7.21E-04,9.73E-06,2.02E-06,9.11E-07,1.44E-04,1.71E-05,8.67E-05,4.04E-04,3.11E-06,5.89E-05,4.45E-06,0.00E+00,3.32E-06,9.89E-07,4.41E-05,7.99E-05,5.17E-06,1.71E-04,4.90E-06,4.90E-06,6.63E-06,4.66E-06,6.03E-07,5.49E-07,1.64E-06,5.89E-06,3.02E-06,7.14E-05,6.49E-06,0.00E+00,3.26E-06,1.01E-07,0.00E+00,8.98E-06,5.01E-06,1.25E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.55E-06,0.00E+00,2.68E-07,0.00E+00,0.00E+00
900,1.83E-03,1.07E-02,1.86E-03,3.26E-05,9.62E-04,6.77E-06,3.90E-03,1.36E-04,1.09E-03,2.19E-05,2.89E-06,2.51E-06,3.61E-04,2.54E-05,1.91E-04,4.84E-04,5.01E-06,1.09E-04,7.82E-06,0.00E+00,3.93E-06,1.24E-06,8.46E-05,1.20E-04,1.58E-05,1.85E-04,9.75E-06,8.86E-06,9.65E-06,9.44E-06,1.09E-06,6.99E-07,1.10E-06,7.43E-06,6.53E-06,7.70E-05,1.15E-05,0.00E+00,3.26E-06,3.18E-07,0.00E+00,6.48E-06,4.60E-06,1.04E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.22E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00
925,1.31E-03,1.02E-02,2.94E-03,6.68E-05,1.33E-03,1.51E-05,4.84E-03,1.88E-04,1.18E-03,2.95E-05,4.77E-06,3.42E-06,4.43E-04,2.17E-05,1.93E-04,4.48E-04,6.50E-06,1.30E-04,9.70E-06,0.00E+00,2.62E-06,9.89E-07,9.63E-05,1.31E-04,2.04E-05,1.48E-04,1.15E-05,9.75E-06,9.35E-06,1.20E-05,1.27E-06,0.00E+00,6.86E-07,6.76E-06,9.55E-06,6.09E-05,1.20E-05,0.00E+00,2.90E-06,5.83E-07,0.00E+00,5.22E-06,3.76E-06,6.27E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.11E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00
950,1.02E-03,9.15E-03,4.23E-03,8.63E-05,1.79E-03,2.95E-05,5.81E-03,2.37E-04,1.19E-03,3.50E-05,5.98E-06,5.92E-06,4.91E-04,1.72E-05,1.90E-04,4.04E-04,7.51E-06,1.39E-04,1.07E-05,0.00E+00,1.96E-06,7.42E-07,9.27E-05,1.27E-04,2.14E-05,1.24E-04,1.29E-05,1.00E-05,8.44E-06,1.01E-05,1.21E-06,0.00E+00,0.00E+00,5.84E-06,8.04E-06,5.07E-05,1.05E-05,0.00E+00,2.53E-06,7.51E-07,0.00E+00,3.34E-06,1.67E-06,2.09E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
975,6.70E-04,7.87E-03,5.25E-03,2.60E-04,2.39E-03,4.75E-05,6.90E-03,2.93E-04,1.12E-03,3.60E-05,6.45E-06,7.80E-06,3.68E-04,1.19E-05,1.74E-04,3.07E-04,7.39E-06,1.39E-04,9.99E-06,0.00E+00,1.21E-06,4.94E-07,6.93E-05,1.05E-04,1.48E-05,7.92E-05,1.06E-05,7.98E-06,6.63E-06,7.55E-06,6.63E-07,0.00E+00,0.00E+00,4.44E-06,6.03E-06,3.07E-05,6.49E-06,0.00E+00,1.81E-06,1.02E-06,0.00E+00,2.09E-06,8.36E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1000,3.60E-04,6.71E-03,6.59E-03,3.72E-04,2.73E-03,6.90E-05,6.92E-03,2.97E-04,8.31E-04,3.52E-05,6.25E-06,8.26E-06,3.13E-04,6.26E-06,1.32E-04,1.92E-04,5.57E-06,1.14E-04,7.67E-06,0.00E+00,5.03E-07,0.00E+00,4.32E-05,7.26E-05,5.17E-06,4.11E-05,6.79E-06,5.32E-06,4.22E-06,3.78E-06,0.00E+00,0.00E+00,0.00E+00,2.90E-06,3.02E-06,1.53E-05,3.49E-06,0.00E+00,1.09E-06,1.33E-06,0.00E+00,1.04E-06,2.09E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1025,1.82E-04,5.60E-03,8.33E-03,5.24E-04,3.24E-03,1.04E-04,6.95E-03,3.01E-04,5.80E-04,3.26E-05,5.71E-06,8.54E-06,1.92E-04,4.02E-06,9.50E-05,1.01E-04,3.88E-06,8.84E-05,5.28E-06,0.00E+00,0.00E+00,0.00E+00,2.25E-05,4.36E-05,0.00E+00,1.96E-05,4.14E-06,2.81E-06,2.41E-06,1.89E-06,0.00E+00,0.00E+00,0.00E+00,2.36E-06,1.51E-06,6.28E-06,1.50E-06,0.00E+00,3.62E-07,1.62E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1050,6.53E-05,4.54E-03,1.02E-02,7.64E-04,3.80E-03,1.33E-04,6.86E-03,2.87E-04,3.59E-04,2.77E-05,4.71E-06,7.86E-06,9.62E-05,2.01E-06,6.20E-05,4.84E-05,2.50E-06,6.31E-05,3.26E-06,0.00E+00,0.00E+00,0.00E+00,1.08E-05,2.32E-05,0.00E+00,6.79E-06,2.07E-06,1.48E-06,1.21E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E-06,5.03E-07,1.86E-06,0.00E+00,0.00E+00,0.00E+00,2.03E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1075,1.47E-05,3.50E-03,1.21E-02,8.88E-04,4.20E-03,1.88E-04,5.90E-03,2.33E-04,1.89E-04,1.94E-05,3.70E-06,6.83E-06,3.85E-05,1.18E-06,3.59E-05,1.70E-05,1.29E-06,4.08E-05,1.81E-06,0.00E+00,0.00E+00,0.00E+00,2.07E-06,4.00E-06,0.00E+00,1.83E-06,7.98E-07,4.43E-07,4.52E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.95E-07,0.00E+00,0.00E+00,0.00E+00,2.49E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1100,1.83E-06,2.34E-03,1.39E-02,1.10E-03,4.34E-03,2.68E-04,4.78E-03,1.73E-04,9.55E-05,1.08E-05,2.69E-06,5.12E-06,0.00E+00,0.00E+00,1.53E-05,6.06E-06,4.84E-07,2.65E-05,6.51E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.87E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
